Old_Variable,New_Variable
ST_CompanionNets1_KO,KO alone or by myself
ST_CompanionNets1_SSD_Regular,Regular SSD alone or by myself
ST_CompanionNets1_TB,Any Bev alone or by myself
ST_CompanionNets2_KO,KO with family
ST_CompanionNets2_SSD_Regular,Regular SSD with family
ST_CompanionNets2_TB,Any Bev with family
ST_CompanionNets3_KO,KO with friend
ST_CompanionNets3_SSD_Regular,Regular SSD with friend
ST_CompanionNets3_TB,Any Bev with friend
ST_CompanionNets4_KO,"KO with co-worker, colleague, or fellow student"
ST_CompanionNets4_SSD_Regular,"Regular SSD with co-worker, colleague, or fellow student"
ST_CompanionNets4_TB,"Any Bev with co-worker, colleague, or fellow student"
ST_CompanionNets5_KO,KO with other non-family member
ST_CompanionNets5_SSD_Regular,Regular SSD with other non-family member
ST_CompanionNets5_TB,Any Bev with other non-family member
ST_DaypartHighLevelNets_1_KO,KO in late night
ST_DaypartHighLevelNets_1_SSD_Regular,Regular SSD in late night
ST_DaypartHighLevelNets_1_TB,Any Bev in late night
ST_DaypartHighLevelNets_2_KO,KO in early morning
ST_DaypartHighLevelNets_2_SSD_Regular,Regular SSD in early morning
ST_DaypartHighLevelNets_2_TB,Any Bev in early morning
ST_DaypartHighLevelNets_3_KO,KO in afternoon
ST_DaypartHighLevelNets_3_SSD_Regular,Regular SSD in afternoon
ST_DaypartHighLevelNets_3_TB,Any Bev in afternoon
ST_DaypartHighLevelNets_4_KO,KO in evening
ST_DaypartHighLevelNets_4_SSD_Regular,Regular SSD in evening
ST_DaypartHighLevelNets_4_TB,Any Bev in evening
ST_DaypartHighLevelNets_5_KO,KO at night
ST_DaypartHighLevelNets_5_SSD_Regular,Regular SSD at night
ST_DaypartHighLevelNets_5_TB,Any Bev at night
ST_MainSecActNets1_KO,KO while eating
ST_MainSecActNets1_SSD_Regular,Regular SSD while eating
ST_MainSecActNets1_TB,Any Bev while eating
ST_MainSecActNets2_KO,KO while not eating
ST_MainSecActNets2_SSD_Regular,Regular SSD while not eating
ST_MainSecActNets2_TB,Any Bev while not eating
ST_MainSecOccasionNets01_KO,KO while eating breakfast at home
ST_MainSecOccasionNets01_SSD_Regular,Regular SSD while eating breakfast at home
ST_MainSecOccasionNets01_TB,Any Bev while eating breakfast at home
ST_MainSecOccasionNets02_KO,KO while eating lunch at home
ST_MainSecOccasionNets02_SSD_Regular,Regular SSD while eating lunch at home
ST_MainSecOccasionNets02_TB,Any Bev while eating lunch at home
ST_MainSecOccasionNets03_KO,KO while eating dinner at home
ST_MainSecOccasionNets03_SSD_Regular,Regular SSD while eating dinner at home
ST_MainSecOccasionNets03_TB,Any Bev while eating dinner at home
ST_MainSecOccasionNets04_KO,KO while snacking at home
ST_MainSecOccasionNets04_SSD_Regular,Regular SSD while snacking at home
ST_MainSecOccasionNets04_TB,Any Bev while snacking at home
ST_MainSecOccasionNets05_KO,KO while eating breakfast away
ST_MainSecOccasionNets05_SSD_Regular,Regular SSD while eating breakfast away
ST_MainSecOccasionNets05_TB,Any Bev while eating breakfast away
ST_MainSecOccasionNets06_KO,KO while eating lunch away
ST_MainSecOccasionNets06_SSD_Regular,Regular SSD while eating lunch away
ST_MainSecOccasionNets06_TB,Any Bev while eating lunch away
ST_MainSecOccasionNets07_KO,KO while eating dinner away
ST_MainSecOccasionNets07_SSD_Regular,Regular SSD while eating dinner away
ST_MainSecOccasionNets07_TB,Any Bev while eating dinner away
ST_MainSecOccasionNets08_KO,KO while snacking away
ST_MainSecOccasionNets08_SSD_Regular,Regular SSD while snacking away
ST_MainSecOccasionNets08_TB,Any Bev while snacking away
ST_MainSecOccasionNets09_KO,KO while exercising
ST_MainSecOccasionNets09_SSD_Regular,Regular SSD while exercising
ST_MainSecOccasionNets09_TB,Any Bev while exercising
ST_MainSecOccasionNets10_KO,KO while at work
ST_MainSecOccasionNets10_SSD_Regular,Regular SSD while at work
ST_MainSecOccasionNets10_TB,Any Bev while at work
ST_MainSecOccasionNets11_KO,KO while at school
ST_MainSecOccasionNets11_SSD_Regular,Regular SSD while at school
ST_MainSecOccasionNets11_TB,Any Bev while at school
ST_MainSecOccasionNets12_KO,KO while getting ready to start the day
ST_MainSecOccasionNets12_SSD_Regular,Regular SSD while getting ready to start the day
ST_MainSecOccasionNets12_TB,Any Bev while getting ready to start the day
ST_MainSecOccasionNets13_KO,KO while commuting in the morning
ST_MainSecOccasionNets13_SSD_Regular,Regular SSD while commuting in the morning
ST_MainSecOccasionNets13_TB,Any Bev while commuting in the morning
ST_MainSecOccasionNets14_KO,KO while commuting post noon
ST_MainSecOccasionNets14_SSD_Regular,Regular SSD while commuting post noon
ST_MainSecOccasionNets14_TB,Any Bev while commuting post noon
ST_MainSecOccasionNets15_KO,KO while doing household routine
ST_MainSecOccasionNets15_SSD_Regular,Regular SSD while doing household routine
ST_MainSecOccasionNets15_TB,Any Bev while doing household routine
ST_MainSecOccasionNets16_KO,KO while watching tv at home
ST_MainSecOccasionNets16_SSD_Regular,Regular SSD while watching tv at home
ST_MainSecOccasionNets16_TB,Any Bev while watching tv at home
ST_MainSecOccasionNets17_KO,KO during media consumption at leisure
ST_MainSecOccasionNets17_SSD_Regular,Regular SSD during media consumption at leisure
ST_MainSecOccasionNets17_TB,Any Bev during media consumption at leisure
ST_MainSecOccasionNets18_KO,KO while relaxing during leisure
ST_MainSecOccasionNets18_SSD_Regular,Regular SSD while relaxing during leisure
ST_MainSecOccasionNets18_TB,Any Bev while relaxing during leisure
ST_MainSecOccasionNets19_KO,KO while leisure away
ST_MainSecOccasionNets19_SSD_Regular,Regular SSD while leisure away
ST_MainSecOccasionNets19_TB,Any Bev while leisure away
ST_Q26_1_KO,KO to purify or cleanse my body
ST_Q26_1_SSD_Regular,Regular SSD to purify or cleanse my body
ST_Q26_1_TB,Any Bev to purify or cleanse my body
ST_Q26_10_KO,KO to renew my energy
ST_Q26_10_SSD_Regular,Regular SSD to renew my energy
ST_Q26_10_TB,Any Bev to renew my energy
ST_Q26_11_KO,KO to give me a flavor i enjoy
ST_Q26_11_SSD_Regular,Regular SSD to give me a flavor i enjoy
ST_Q26_11_TB,Any Bev to give me a flavor i enjoy
ST_Q26_12_KO,KO to give my body the nutrients that it needs
ST_Q26_12_SSD_Regular,Regular SSD to give my body the nutrients that it needs
ST_Q26_12_TB,Any Bev to give my body the nutrients that it needs
ST_Q26_13_KO,KO to celebrate with others
ST_Q26_13_SSD_Regular,Regular SSD to celebrate with others
ST_Q26_13_TB,Any Bev to celebrate with others
ST_Q26_14_KO,KO to help me stay in shape
ST_Q26_14_SSD_Regular,Regular SSD to help me stay in shape
ST_Q26_14_TB,Any Bev to help me stay in shape
ST_Q26_15_KO,KO to keep up with my regular routine
ST_Q26_15_SSD_Regular,Regular SSD to keep up with my regular routine
ST_Q26_15_TB,Any Bev to keep up with my regular routine
ST_Q26_16_KO,KO to wash down food
ST_Q26_16_SSD_Regular,Regular SSD to wash down food
ST_Q26_16_TB,Any Bev to wash down food
ST_Q26_17_KO,KO to replenish lost fluids
ST_Q26_17_SSD_Regular,Regular SSD to replenish lost fluids
ST_Q26_17_TB,Any Bev to replenish lost fluids
ST_Q26_18_KO,KO to refresh me mentally
ST_Q26_18_SSD_Regular,Regular SSD to refresh me mentally
ST_Q26_18_TB,Any Bev to refresh me mentally
ST_Q26_19_KO,KO to comfort me
ST_Q26_19_SSD_Regular,Regular SSD to comfort me
ST_Q26_19_TB,Any Bev to comfort me
ST_Q26_2_KO,KO to wake me up
ST_Q26_2_SSD_Regular,Regular SSD to wake me up
ST_Q26_2_TB,Any Bev to wake me up
ST_Q26_3_KO,KO to help me grow stronger and healthier
ST_Q26_3_SSD_Regular,Regular SSD to help me grow stronger and healthier
ST_Q26_3_TB,Any Bev to help me grow stronger and healthier
ST_Q26_4_KO,KO to reward or indulge myself
ST_Q26_4_SSD_Regular,Regular SSD to reward or indulge myself
ST_Q26_4_TB,Any Bev to reward or indulge myself
ST_Q26_5_KO,KO to quench my thirst
ST_Q26_5_SSD_Regular,Regular SSD to quench my thirst
ST_Q26_5_TB,Any Bev to quench my thirst
ST_Q26_6_KO,KO to ensure i drink enough each day
ST_Q26_6_SSD_Regular,Regular SSD to ensure i drink enough each day
ST_Q26_6_TB,Any Bev to ensure i drink enough each day
ST_Q26_7_KO,KO to help me unwind or relax
ST_Q26_7_SSD_Regular,Regular SSD to help me unwind or relax
ST_Q26_7_TB,Any Bev to help me unwind or relax
ST_Q26_8_KO,KO to go well with my food
ST_Q26_8_SSD_Regular,Regular SSD to go well with my food
ST_Q26_8_TB,Any Bev to go well with my food
ST_Q26_9_KO,KO to make me feel healthy
ST_Q26_9_SSD_Regular,Regular SSD to make me feel healthy
ST_Q26_9_TB,Any Bev to make me feel healthy
Q28Q30Loop_1_Q28Q3001,Imagery - KO is for someone like me
Q28Q30Loop_2_Q28Q3001,Imagery - KO is a brand i love
Q28Q30Loop_3_Q28Q3001,Imagery - KO is worth what it costs
Q28Q30Loop_4_Q28Q3001,Imagery - KO is higher quality than other soft drinks
Q28Q30Loop_5_Q28Q3001,Imagery - KO tastes better than other soft drinks
Q28Q30Loop_6_Q28Q3001,Imagery - KO goes well with food
Q28Q30Loop_7_Q28Q3001,Imagery - KO is a thirst quenching brand
Q28Q30Loop_8_Q28Q3001,Imagery - KO is an uplifting drink
Q28Q30Loop_9_Q28Q3001,Imagery - KO is unique and different from other soft drinks
Q28Q30Loop_10_Q28Q3001,Imagery - KO is a genuine and authentic brand
Q28Q30Loop_11_Q28Q3001,Imagery - KO is more refreshing than other soft drinks
Q28Q30Loop_12_Q28Q3001,Imagery - KO is not as healthy as other soft drinks
Q28Q30Loop_13_Q28Q3001,Imagery - KO is energizing
Q28Q30Loop_14_Q28Q3001,Imagery - KO is cool
QCNets_New,Age Nets
QD4_New,Education
QD5_New,Employment
QD6a_New,Type of Employment
QD3_New,Marital Status
QF_New,Income Level
CustomConstructs_HealthWellness_New,Custom Net based on BMI
Respondent_Serial,Respondent Serial
KO_Consumption_4_5,KO Consumption
